Date,Cases,Deaths,Recovered,CFR,Deaths Per day
01/02/2020,2,0,0,0,0
02/02/2020,2,0,0,0,0
03/02/2020,2,0,0,0,0
04/02/2020,2,0,0,0,0
05/02/2020,2,0,0,0,0
06/02/2020,2,0,0,0,0
07/02/2020,3,0,0,0,0
08/02/2020,3,0,0,0,0
09/02/2020,3,0,0,0,0
10/02/2020,4,0,0,0,0
11/02/2020,8,0,0,0,0
12/02/2020,8,0,0,0,0
13/02/2020,9,0,0,0,0
14/02/2020,9,0,0,0,0
15/02/2020,9,0,0,0,0
16/02/2020,9,0,0,0,0
17/02/2020,9,0,0,0,0
18/02/2020,9,0,0,0,0
19/02/2020,9,0,0,0,0
20/02/2020,9,0,0,0,0
21/02/2020,9,0,0,0,0
22/02/2020,9,0,0,0,0
23/02/2020,9,0,0,0,0
24/02/2020,9,0,0,0,0
25/02/2020,13,0,0,0,0
26/02/2020,13,0,0,0,0
27/02/2020,13,0,0,0,0
28/02/2020,16,0,0,0,0
29/02/2020,20,0,0,0,0
01/03/2020,23,0,0,0,0
02/03/2020,36,0,0,0,0
03/03/2020,39,0,0,0,0
04/03/2020,51,0,0,0,0
05/03/2020,89,0,0,0,0
06/03/2020,118,0,0,0,0
07/03/2020,167,1,0,0.598802395,1
08/03/2020,210,2,0,0.952380952,1
09/03/2020,277,2,0,0.722021661,0
10/03/2020,323,3,0,0.92879257,1
11/03/2020,373,6,0,1.608579088,3
12/03/2020,460,6,0,1.304347826,0
13/03/2020,594,8,0,1.346801347,2
14/03/2020,802,10,0,1.246882793,2
15/03/2020,1144,21,0,1.835664336,11
16/03/2020,1395,35,21,2.508960573,14
17/03/2020,1553,56,53,3.605924018,21
18/03/2020,2642,72,67,2.725208176,16
19/03/2020,2716,138,67,5.081001473,66
20/03/2020,3983,177,67,4.443886518,39
21/03/2020,5067,234,67,4.618117229,57
22/03/2020,5736,282,67,4.916317992,48
23/03/2020,6726,336,140,4.995539697,54
24/03/2020,8164,423,140,5.181283684,87
25/03/2020,9640,466,140,4.834024896,43
26/03/2020,11809,580,150,4.911508172,114
27/03/2020,14743,761,151,5.161771688,181
28/03/2020,17312,1021,151,5.897643253,260
29/03/2020,19772,1231,151,6.225976128,210
30/03/2020,22448,1411,171,6.285637919,180
31/03/2020,25479,1793,179,7.037167864,382
01/04/2020,29865,2357,179,7.892181483,564
02/04/2020,34167,2926,192,8.56381889,569
03/04/2020,38689,3611,208,9.333402259,685
04/04/2020,42449,4320,215,10.17691818,709
05/04/2020,48436,4943,229,10.20521926,623
06/04/2020,52274,5383,284,10.29766232,440
07/04/2020,55940,6171,320,11.03146228,788
08/04/2020,61474,7111,345,11.56749195,940
09/04/2020,65863,7992,357,12.13427873,881
10/04/2020,74605,8974,588,12.0286844,982
11/04/2020,79883,9892,622,12.3831103,918
12/04/2020,85199,10629,,12.47549854,737
13/04/2020,89569,11346,,12.6673291,717
14/04/2020,94845,12129,,12.78823343,783
15/04/2020,99459,12894,,12.96413598,765
16/04/2020,104145,13759,,13.21138797,865
17/04/2020,109769,14607,,13.30703568,848
18/04/2020,115314,15498,,13.43982517,891
19/04/2020,121172,16095,,13.2827716,597
20/04/2020,125851,16550,,13.15047159,455
21/04/2020,130172,17378,,13.35002919,828
22/04/2020,134637,18151,,13.48143527,773
23/04/2020,139246,18791,,13.49482211,640
24/04/2020,144635,19566,,13.52784596,775
25/04/2020,,,,,
26/04/2020,,,,,
